Place,longitude,latitude,locationX,locationY
Chengdu Museum,30.665,104.044,665,44
Du Fu Thatched Cottage,30.660,104.026,660,26
Jinsha Site Museum Tourist Center,30.680,104.012,680,12
Jinli Old Street,30.645,104.049,645,49
Qingyang Palace ,30.660,104.041,660,41
Peopleâ€™s Park,30.657,104.058,657,58
Kuan Alley and Zhai Alley,30.663,104.054,663,54
Chengdu Research Base of Giant Panda Breeding,30.733,104.152,733,152
Chengdu East Gate Chengqiang Relic Site,30.647,104.073,647,73
Chengdu East Railway Station,30.630,104.139,630,139
Chengdu Shuangliu International Airport,30.571,103.970,571,970
Happy Valley Chengdu,30.724,104.022,724,22
Wenshu Yuan Monastery,30.676,104.074,676,74
Tianfu Square,30.657,104.066,657,66
IFS International Finance Center,30.655,104.081,655,81
Sichuan University Wangjiang Campus,30.631,104.083,631,83
Global Center,30.569,104.063,569,63
Jincheng Lake,30.570,104.040,570,40
Fenghunagshan Football Stadium,30.738,104.081,738,81